Colpitti Ck
STN	Date/Time       	PREC_HR_TTL_VAL	PREC_HR_TTL_VAL_QC	PREC_HR_TTL_VAL_Note	PREC_BEST_HR_TTL	PREC_BEST_HR_TTL_QC	PREC_BEST_HR_TTL_Note	TEMP_INST_VAL	TEMP_INST_VAL_QC	TEMP_INST_VAL_Note	SWE_INST_VAL	SWE_INST_VAL_QC	SWE_INST_VAL_Note	
CPI	2020/09/20 06:15	+	+	+	+	+	+	4.7	190	+	-1.0	190	+	
CPI	2020/09/20 06:30	+	+	+	+	+	+	4.6	190	+	-1.0	190	+	
CPI	2020/09/20 06:45	+	+	+	+	+	+	4.7	190	+	-1.0	190	+	
CPI	2020/09/20 07:00	0.2	50	+	0.2	50	+	5.1	190	+	-1.0	190	+	
CPI	2020/09/20 07:15	+	+	+	+	+	+	5.4	190	+	-1.0	190	+	
CPI	2020/09/20 07:30	+	+	+	+	+	+	5.0	190	+	-1.0	190	+	
CPI	2020/09/20 07:45	+	+	+	+	+	+	5.0	190	+	-1.0	190	+	
CPI	2020/09/20 08:00	0.1	50	+	0.1	50	+	5.1	190	+	-1.0	190	+	
CPI	2020/09/20 08:15	+	+	+	+	+	+	5.3	190	+	-1.0	190	+	
CPI	2020/09/20 08:30	+	+	+	+	+	+	5.7	190	+	-1.0	190	+	
CPI	2020/09/20 08:45	+	+	+	+	+	+	6.0	190	+	-1.0	190	+	
CPI	2020/09/20 09:00	0.1	50	+	0.1	50	+	6.0	190	+	-1.0	190	+	
CPI	2020/09/20 09:15	+	+	+	+	+	+	7.4	190	+	-1.0	190	+	
CPI	2020/09/20 09:30	+	+	+	+	+	+	7.0	190	+	-1.0	190	+	
CPI	2020/09/20 09:45	+	+	+	+	+	+	7.6	190	+	-1.0	190	+	
CPI	2020/09/20 10:00	0.3	50	+	0.3	50	+	7.9	190	+	-1.0	190	+	
CPI	2020/09/20 10:15	+	+	+	+	+	+	9.2	190	+	-1.0	190	+	
CPI	2020/09/20 10:30	+	+	+	+	+	+	8.9	190	+	-1.0	190	+	
CPI	2020/09/20 10:45	+	+	+	+	+	+	7.1	190	+	-1.0	190	+	
CPI	2020/09/20 11:00	0.2	50	+	0.2	50	+	7.5	190	+	-1.0	190	+	
CPI	2020/09/20 11:15	+	+	+	+	+	+	8.1	190	+	-1.0	190	+	
CPI	2020/09/20 11:30	+	+	+	+	+	+	7.3	190	+	0.0	190	+	
CPI	2020/09/20 11:45	+	+	+	+	+	+	7.7	190	+	0.0	190	+	
CPI	2020/09/20 12:00	0.1	50	+	0.1	50	+	7.6	190	+	0.0	190	+	
CPI	2020/09/20 12:15	+	+	+	+	+	+	8.5	190	+	-1.0	190	+	
CPI	2020/09/20 12:30	+	+	+	+	+	+	7.0	190	+	0.0	190	+	
CPI	2020/09/20 12:45	+	+	+	+	+	+	7.3	190	+	0.0	190	+	
CPI	2020/09/20 13:00	0.1	50	+	0.1	50	+	7.3	190	+	0.0	190	+	
CPI	2020/09/20 13:15	+	+	+	+	+	+	8.0	190	+	-1.0	190	+	
CPI	2020/09/20 13:30	+	+	+	+	+	+	8.9	190	+	-1.0	190	+	
CPI	2020/09/20 13:45	+	+	+	+	+	+	9.2	190	+	0.0	190	+	
CPI	2020/09/20 14:00	0.1	50	+	0.1	50	+	9.1	190	+	0.0	190	+	
CPI	2020/09/20 14:15	+	+	+	+	+	+	7.4	190	+	0.0	190	+	
CPI	2020/09/20 14:30	+	+	+	+	+	+	8.2	190	+	0.0	190	+	
CPI	2020/09/20 14:45	+	+	+	+	+	+	7.3	190	+	0.0	190	+	
CPI	2020/09/20 15:00	0.4	50	+	0.4	50	+	7.4	190	+	0.0	190	+	
CPI	2020/09/20 15:15	+	+	+	+	+	+	8.2	190	+	0.0	190	+	
CPI	2020/09/20 15:30	+	+	+	+	+	+	7.7	190	+	0.0	190	+	
CPI	2020/09/20 15:45	+	+	+	+	+	+	6.7	190	+	1.0	190	+	
CPI	2020/09/20 16:00	0.3	50	+	0.3	50	+	7.6	190	+	0.0	190	+	
CPI	2020/09/20 16:15	+	+	+	+	+	+	7.4	190	+	0.0	190	+	
CPI	2020/09/20 16:30	+	+	+	+	+	+	7.1	190	+	0.0	190	+	
CPI	2020/09/20 16:45	+	+	+	+	+	+	6.3	190	+	0.0	190	+	
CPI	2020/09/20 17:00	0.3	50	+	0.3	50	+	5.9	190	+	0.0	190	+	
CPI	2020/09/20 17:15	+	+	+	+	+	+	5.6	190	+	0.0	190	+	
CPI	2020/09/20 17:30	+	+	+	+	+	+	5.2	190	+	0.0	190	+	
CPI	2020/09/20 17:45	+	+	+	+	+	+	5.4	190	+	0.0	190	+	
CPI	2020/09/20 18:00	0.2	50	+	0.2	50	+	5.4	190	+	0.0	190	+	
CPI	2020/09/20 18:15	+	+	+	+	+	+	5.4	190	+	0.0	190	+	
CPI	2020/09/20 18:30	+	+	+	+	+	+	5.2	190	+	0.0	190	+	
CPI	2020/09/20 18:45	+	+	+	+	+	+	5.4	190	+	0.0	190	+	
CPI	2020/09/20 19:00	0.1	50	+	0.1	50	+	4.5	190	+	0.0	190	+	
CPI	2020/09/20 19:15	+	+	+	+	+	+	4.7	190	+	0.0	190	+	
CPI	2020/09/20 19:30	+	+	+	+	+	+	4.5	190	+	-1.0	190	+	
CPI	2020/09/20 19:45	+	+	+	+	+	+	5.1	190	+	-1.0	190	+	
CPI	2020/09/20 20:00	0.0	50	+	0.0	50	+	5.0	190	+	-1.0	190	+	
CPI	2020/09/20 20:15	+	+	+	+	+	+	4.7	190	+	-1.0	190	+	
CPI	2020/09/20 20:30	+	+	+	+	+	+	4.6	190	+	-1.0	190	+	
CPI	2020/09/20 20:45	+	+	+	+	+	+	4.4	190	+	-1.0	190	+	
CPI	2020/09/20 21:00	0.1	50	+	0.1	50	+	4.5	190	+	-1.0	190	+	
CPI	2020/09/20 21:15	+	+	+	+	+	+	4.5	190	+	-1.0	190	+	
CPI	2020/09/20 21:30	+	+	+	+	+	+	4.8	190	+	-1.0	190	+	
CPI	2020/09/20 21:45	+	+	+	+	+	+	5.0	190	+	-1.0	190	+	
CPI	2020/09/20 22:00	0.1	50	+	0.1	50	+	4.8	190	+	-1.0	190	+	
CPI	2020/09/20 22:15	+	+	+	+	+	+	4.2	190	+	-1.0	190	+	
CPI	2020/09/20 22:30	+	+	+	+	+	+	4.2	190	+	-1.0	190	+	
CPI	2020/09/20 22:45	+	+	+	+	+	+	4.4	190	+	-1.0	190	+	
CPI	2020/09/20 23:00	0.3	50	+	0.3	50	+	3.8	190	+	-1.0	190	+	
CPI	2020/09/20 23:15	+	+	+	+	+	+	4.6	190	+	-1.0	190	+	
CPI	2020/09/20 23:30	+	+	+	+	+	+	4.5	190	+	-1.0	190	+	
CPI	2020/09/20 23:45	+	+	+	+	+	+	4.0	190	+	-1.0	190	+	
CPI	2020/09/21 00:00	0.1	50	+	0.1	50	+	4.0	190	+	-1.0	190	+	
CPI	2020/09/21 00:15	+	+	+	+	+	+	3.8	190	+	-1.0	190	+	
CPI	2020/09/21 00:30	+	+	+	+	+	+	4.5	190	+	-1.0	190	+	
CPI	2020/09/21 00:45	+	+	+	+	+	+	4.3	190	+	-1.0	190	+	
CPI	2020/09/21 01:00	0.2	50	+	0.2	50	+	5.1	190	+	-1.0	190	+	
CPI	2020/09/21 01:15	+	+	+	+	+	+	5.2	190	+	-1.0	190	+	
CPI	2020/09/21 01:30	+	+	+	+	+	+	5.3	190	+	-1.0	190	+	
CPI	2020/09/21 01:45	+	+	+	+	+	+	5.1	190	+	-1.0	190	+	
CPI	2020/09/21 02:00	0.1	50	+	0.1	50	+	4.9	190	+	-1.0	190	+	
CPI	2020/09/21 02:15	+	+	+	+	+	+	4.9	190	+	-1.0	190	+	
CPI	2020/09/21 02:30	+	+	+	+	+	+	5.0	190	+	-1.0	190	+	
CPI	2020/09/21 02:45	+	+	+	+	+	+	4.8	190	+	-1.0	190	+	
CPI	2020/09/21 03:00	0.2	50	+	0.2	50	+	5.5	190	+	-1.0	190	+	
CPI	2020/09/21 03:15	+	+	+	+	+	+	5.3	190	+	-1.0	190	+	
CPI	2020/09/21 03:30	+	+	+	+	+	+	5.4	190	+	-1.0	190	+	
CPI	2020/09/21 03:45	+	+	+	+	+	+	5.2	190	+	-1.0	190	+	
CPI	2020/09/21 04:00	0.2	50	+	0.2	50	+	4.9	190	+	-1.0	190	+	
CPI	2020/09/21 04:15	+	+	+	+	+	+	4.9	190	+	-1.0	190	+	
CPI	2020/09/21 04:30	+	+	+	+	+	+	5.0	190	+	-1.0	190	+	
CPI	2020/09/21 04:45	+	+	+	+	+	+	5.2	190	+	-1.0	190	+	
CPI	2020/09/21 05:00	0.1	50	+	0.1	50	+	5.1	190	+	-1.0	190	+	
