station,variable,total_points,matches,mismatches,latest_mismatch,latest_time_raw,mismatch_perc
SeebachWx,Wetness,13882,13882,0,,2025-09-09 10:00:00,0.0
SeebachWx,Wind Direction,13926,13926,0,,2025-09-09 10:00:00,0.0
SeebachWx,Wind Speed,13926,13926,0,,2025-09-09 10:00:00,0.0
Sunbeam,Gust Speed,113503,113503,0,,2026-01-06 09:00:00,0.0
Sunbeam,Pressure,112009,112009,0,,2026-01-06 09:00:00,0.0
Sunbeam,Rain,119803,119803,0,,2026-01-06 09:00:00,0.0
Sunbeam,Sfc temp,7911,7911,0,,2022-09-06 18:00:00,0.0
Sunbeam,Snow depth,6923,6923,0,,2023-09-15 10:00:00,0.0
Sunbeam,Solar Radiation,118068,118068,0,,2026-01-06 09:00:00,0.0
Sunbeam,Wind Direction,86298,86298,0,,2026-01-06 09:00:00,0.0
Sunbeam,Wind Speed,113360,113360,0,,2026-01-06 09:00:00,0.0
Tamarac,DewPt,33781,33781,0,,2025-08-25 11:00:00,0.0
Tamarac,DewPt 30 cm,31147,31147,0,,2025-10-02 14:00:00,0.0
Tamarac,Gust Speed,36620,36620,0,,2025-10-02 15:00:00,0.0
Tamarac,RH,33782,33782,0,,2025-08-25 12:00:00,0.0
Tamarac,RH 30 cm,31147,31147,0,,2025-10-02 14:00:00,0.0
Tamarac,Rain,36623,36623,0,,2025-10-02 15:00:00,0.0
Tamarac,Sfc Temp,23157,23157,0,,2025-10-02 14:00:00,0.0
Tamarac,Soil Temp,32761,32761,0,,2025-08-04 03:00:00,0.0
Tamarac,Temp,33781,33781,0,,2025-08-25 11:00:00,0.0
Tamarac,Temp 30 cm,31148,31148,0,,2025-10-02 14:00:00,0.0
Tamarac,WC_cal,31900,31900,0,,2025-08-04 03:00:00,0.0
Tamarac,Water Content,31900,31900,0,,2025-08-04 03:00:00,0.0
Tamarac,Water Content,31901,31901,0,,2025-08-04 03:00:00,0.0
Tamarac,Water Content,32763,32763,0,,2025-08-04 03:00:00,0.0
Tamarac,Wind Speed,36620,36620,0,,2025-10-02 15:00:00,0.0
ThompsonWx,DewPt 30 cm,135734,135734,0,,2025-09-22 10:00:00,0.0
ThompsonWx,Gust Speed,154964,148845,6119,2009-10-24 18:00:00,2025-09-22 10:00:00,0.03948659043390723
ThompsonWx,Pressure,156915,150778,6137,2009-10-24 18:00:00,2025-09-22 10:00:00,0.03911034636586687
ThompsonWx,RH 30 cm,135734,135734,0,,2025-09-22 10:00:00,0.0
ThompsonWx,Rain,156902,156473,429,2009-10-23 09:00:00,2025-09-22 10:00:00,0.0027341907687601177
ThompsonWx,Soil Temp,12477,12477,0,,2024-11-24 09:00:00,0.0
ThompsonWx,Solar Radiation,156915,152684,4231,2009-10-24 18:00:00,2025-09-22 10:00:00,0.0269636427365134
ThompsonWx,Temp 30 cm,136196,136196,0,,2025-09-22 10:00:00,0.0
ThompsonWx,WC_cal,66233,66233,0,,2025-08-03 05:00:00,0.0
ThompsonWx,Water Content,78715,78715,0,,2025-09-22 10:00:00,0.0
ThompsonWx,Wetness,156915,154225,2690,2009-10-24 14:00:00,2025-09-22 10:00:00,0.01714303922505815
ThompsonWx,Wind Direction,149042,142504,6538,2009-10-24 18:00:00,2025-09-22 10:00:00,0.04386682948430644
ThompsonWx,Wind Speed,154962,149372,5590,2009-10-24 18:00:00,2025-09-22 10:00:00,0.03607335992049664
Willow-BowronWx,DewPt,144115,129309,14806,2012-01-10 10:00:00,2025-10-30 10:00:00,0.10273739721749992
Willow-BowronWx,Gust Speed,137825,127616,10209,2012-01-10 10:00:00,2025-10-30 10:00:00,0.0740721929983675
Willow-BowronWx,Pressure,145240,129532,15708,2012-01-10 10:00:00,2025-10-30 10:00:00,0.10815202423574773
Willow-BowronWx,RH,144115,134495,9620,2012-01-10 10:00:00,2025-10-30 10:00:00,0.06675224646983312
Willow-BowronWx,Rain,142708,141587,1121,2012-01-08 20:00:00,2025-10-30 10:00:00,0.007855200829666172
Willow-BowronWx,Solar Radiation,144146,135096,9050,2012-01-10 10:00:00,2025-10-30 10:00:00,0.06278356666157923
Willow-BowronWx,Temp,144115,130459,13656,2012-01-10 10:00:00,2025-10-30 10:00:00,0.09475765881414148
Willow-BowronWx,Wetness,137632,137632,0,,2025-10-30 10:00:00,0.0
Willow-BowronWx,Wind Direction,113204,102077,11127,2012-01-10 10:00:00,2025-10-30 10:00:00,0.09829157980283382
Willow-BowronWx,Wind Speed,137826,132914,4912,2012-01-10 09:00:00,2025-10-30 10:00:00,0.03563913920450423
