station_id,native_id,min_obs_time,max_obs_time,history_id,station_name,lon,lat,elev,sdate,edate,tz_offset,freq
2772,34128,1990-09-19 10:00:00,2011-04-05 16:00:00,3515,London Ridge Low,-117.23481,50.04589,2070.0,,,,1-hourly
2773,34129,1990-09-19 11:00:00,2011-04-05 16:00:00,3516,London Ridge High,-117.22867,50.04931,2160.0,,,,1-hourly
2775,34224,1995-11-03 10:00:00,2011-04-05 16:00:00,3518,Lardeau,-116.9675,50.15417,1097.0,,,,1-hourly
2778,34621,1994-07-18 10:00:00,2011-04-06 15:00:00,3521,Coffee Creek,-116.90722,49.71444,610.0,,,,1-hourly
2779,34791,2005-01-27 16:00:00,2011-04-06 15:00:00,3522,Summit Lake,-117.5925,50.1475,780.0,,,,1-hourly
2783,35091,1997-11-20 11:00:00,2011-04-06 15:00:00,3526,Canal Flats,-115.76111,49.99444,870.0,,,,1-hourly
2784,35092,2002-02-06 11:00:00,2011-04-06 15:00:00,3527,Moyie,-115.82889,49.32611,975.0,,,,1-hourly
2789,36124,1998-01-20 14:00:00,2011-04-06 15:00:00,3532,Morrissey,-115.02306,49.39,960.0,,,,1-hourly
2793,37091,2002-02-05 16:00:00,2011-04-06 15:00:00,3536,Vermillion Pit,-116.17647,50.73828,870.0,,,,1-hourly
2794,37092,2003-12-11 10:00:00,2011-04-06 15:00:00,3537,Nordic 2,-117.42179,51.507,1041.0,,,,1-hourly
2797,37121,1989-11-08 14:00:00,2011-04-06 07:00:00,3540,Kicking Horse,-116.87847,51.31514,1844.0,,,,1-hourly
2798,37122,1995-11-01 13:28:00,2011-04-06 07:00:00,3541,Kicking Horse Solar,-116.88467,51.31056,1440.0,,,,1-hourly
2799,37125,2000-01-27 14:00:00,2007-09-17 11:00:00,3542,Top Of Ten Mile Raws,-116.76,51.27278,1100.0,,,,1-hourly
2800,37126,2007-09-17 12:00:00,2011-04-06 15:00:00,3543,Top of Ten Mile 2,-116.76653,51.27483,1140.0,,,,1-hourly
2803,37221,2002-01-16 14:00:00,2011-04-06 08:00:00,3546,Toby Creek,-116.252,50.45472,1130.0,,,,1-hourly
2804,37222,2010-08-31 06:00:00,2011-04-06 08:00:00,3547,Little Dragon,-116.32,50.43361,2380.0,,,,1-hourly
2807,38121,1986-01-02 12:00:00,2011-04-06 08:00:00,3550,3 Valley Remote,-118.44503,50.92666,1165.0,,,,1-hourly
2808,38124,1999-11-23 20:00:00,2011-04-06 15:00:00,3551,Clanwilliam,-118.37777,50.96248,610.0,,,,1-hourly
2810,38222,1986-01-02 12:00:00,2011-04-06 08:00:00,3553,Corbin Pass Low,-117.77111,51.19333,1615.0,,,,1-hourly
2811,38226,1990-07-10 03:00:00,2011-04-06 08:00:00,3554,Corbin Pass High,-117.77778,51.20083,2135.0,,,,1-hourly
2812,38227,1999-08-31 15:00:00,2011-04-06 15:00:00,3555,Albert Canyon,-117.75615,51.18808,999.0,,,,1-hourly
2813,38228,2008-09-10 17:00:00,2011-04-06 08:00:00,3556,Laurie,-117.71083,51.18992,2260.0,,,,1-hourly
2816,38323,1988-04-06 10:00:00,2011-04-06 08:00:00,3559,Caribou Ridge,-118.46167,51.51833,1740.0,,,,1-hourly
2817,38324,2003-11-13 06:00:00,2011-04-06 15:00:00,3560,50 Mile,-118.60111,51.59917,650.0,,,,1-hourly
2818,38325,1989-12-14 17:00:00,2011-04-06 08:00:00,3561,Fred Laing Ridge,-118.57083,52.04028,1080.0,,,,1-hourly
2819,38326,2000-01-20 10:00:00,2011-04-06 15:00:00,3562,Mica,-118.56222,51.95778,565.0,,,,1-hourly
2821,38424,1987-03-01 16:00:00,2011-04-06 08:00:00,3564,Galena Pass,-117.755,50.70806,1570.0,,,,1-hourly
2825,39121,1996-10-21 08:00:00,2011-04-06 08:00:00,3568,Kootenay Pass,-117.04,49.05806,1780.0,,,,1-hourly
2826,39123,1977-02-02 16:00:00,2011-04-06 08:00:00,3569,Stagleap,-117.08389,49.07161,2140.0,,,,1-hourly
2827,39129,1989-12-07 09:00:00,1996-04-16 10:00:00,3570,Northfork,-117.03222,49.08278,1965.0,,,,1-hourly
2834,41091,2001-10-03 17:00:00,2011-04-06 15:00:00,3577,West Twin Creek,-120.50709,53.43988,895.0,,,,1-hourly
2835,41092,2002-10-25 12:00:00,2011-04-06 14:00:00,3578,Link Creek,-122.65694,55.50111,730.0,,,,1-hourly
2836,41093,2002-10-25 12:00:00,2011-04-06 14:00:00,3579,Whiskers Point,-122.9275,54.90389,710.0,,,,1-hourly
2837,41094,2003-11-02 21:00:00,2011-04-06 15:00:00,3580,Tamarack,-123.13222,53.83139,715.0,,,,1-hourly
2841,42091,2003-11-05 14:00:00,2011-04-06 15:00:00,3584,Dragon Lake,-122.43881,52.93078,659.0,,,,1-hourly
2843,42121,1996-10-03 14:00:00,2011-04-06 08:00:00,3586,Sliding Mountain,-121.47889,53.15667,1675.0,,,,1-hourly
2846,43091,2002-10-31 07:00:00,2011-04-06 15:00:00,3589,Braden Road,-120.76256,55.7815,760.0,,,,1-hourly
2848,43126,1989-11-26 20:00:00,1992-04-21 09:00:00,3591,Solitude High Raws,-122.6,55.48611,1555.0,,,,1-hourly
2849,43127,1989-11-02 11:00:00,1992-04-21 09:00:00,3592,Solitude Low Raws,-122.58889,55.49444,1060.0,,,,1-hourly
2854,44091,2002-11-04 07:00:00,2011-04-06 15:00:00,3597,73 Mile,-121.25264,56.54111,850.0,,,,1-hourly
2860,46094,2000-10-11 20:00:00,2011-04-06 14:00:00,3603,Chappel Creek,-119.18008,52.38556,786.0,,,,1-hourly
2862,46125,1990-10-27 18:00:00,1996-04-25 09:00:00,3605,Red Pass High Raws,-119.16806,53.05556,2100.0,,,,1-hourly
2863,46126,1990-08-12 15:00:00,1994-10-16 10:00:00,3606,Red Pass Low Raws,-119.15139,53.04722,1950.0,,,,1-hourly
2864,46127,1994-10-18 13:00:00,2011-04-06 15:00:00,3607,Robson Roadside,-119.2003,53.03303,944.0,,,,1-hourly
2869,47091,1997-11-14 15:00:00,2011-04-06 15:00:00,3612,Lee's Hill,-122.98586,51.93747,1090.0,,,,1-hourly
2870,47092,2003-11-04 15:00:00,2011-04-06 16:00:00,3613,Enterprise,-121.79314,51.96181,730.0,,,,1-hourly
2873,47121,2011-04-01 00:00:00,2020-06-03 14:00:00,3616,Bella Coola,-126.77178,52.35569,1160.0,,,,
2874,47122,1994-08-02 10:00:00,2011-04-06 08:00:00,3617,Heckman Pass,-125.87449,52.4347,975.0,,,,1-hourly
2886,51121,1986-11-25 18:00:00,1996-10-10 03:00:00,3629,Junction Meadows Raws,-129.6675,56.11833,1290.0,,,,1-hourly
2887,51122,1986-11-25 18:00:00,1995-11-15 14:00:00,3630,Yvonne Peak Raws,-129.65528,56.12861,2105.0,,,,1-hourly
2888,51123,1986-11-24 16:00:00,2011-04-06 09:00:00,3631,Windy Point Lower,-129.51522,56.11017,1035.0,,,,1-hourly
2889,51124,1986-11-24 16:00:00,2011-04-06 09:00:00,3632,Windy Point Upper,-129.52642,56.12,1490.0,,,,1-hourly
2890,51125,1991-10-19 19:00:00,2011-04-06 09:00:00,3633,Disraeli,-129.75167,56.09972,2000.0,,,,1-hourly
2891,51126,1995-10-27 12:00:00,2011-04-06 09:00:00,3634,Endgoal,-129.51218,56.09987,370.0,,,,1-hourly
