Site,Date,Dy,Solar,Reflect,Tave,Tmax,Tmin,RHave,RHmin,Wind,WindMax,Precip,SnowD,Tsnow,IRTSurfA,IRTSurfX,IRTSurfN,Tsoil005,Tsoil15,Tsoil50,SoilH2O,Vapres,vpdX,ClrSky
PK,31-Jan-19,31,2.76,2.25,-3.3,2.6,-6.1,78.8,55.8,0.9,5.2,0,0.674,-1.8,-5.7,-1.2,-11.6,-0.4,NA,1,NA,0.411,0.326,7.9
PK,1-Feb-19,32,4.37,3.58,-2.8,-0.6,-4.5,90.3,78.7,2.1,6.4,0,0.667,-1.4,-4.3,-1.9,-6.5,-0.4,NA,0.9,NA,0.461,0.125,8.04
PK,2-Feb-19,33,6.1,5.43,-4.2,1.8,-13.7,81.4,51.3,1.7,5.7,3.08,0.688,-1.1,-10.4,-2.5,-22.9,-0.3,NA,1,NA,0.357,0.339,8.2
PK,3-Feb-19,34,5.44,4.71,-15.2,-8.5,-24.2,80.6,50.4,1.5,4.8,0,0.679,-1.2,-14.5,-9.2,-22.4,-0.4,NA,1,NA,0.162,0.159,8.35
PK,4-Feb-19,35,6.75,6.04,-23.3,-18.9,-27.2,76.3,67.9,3.3,7.4,0,0.671,-1.6,-25,-19.7,-35.1,-0.5,NA,0.8,NA,0.093,0.044,8.52
PK,5-Feb-19,36,7.31,6.38,-21.8,-13.8,-30.3,70.5,39.6,1.6,7,0,0.673,-2.1,-28.4,-17.1,-43.1,-0.5,NA,0.9,NA,0.084,0.128,8.68
PK,6-Feb-19,37,8.58,7.5,-20.6,-13.4,-26,75.5,54.1,1.5,5.6,0,0.667,-2.7,-28.9,-17.5,-36,-0.5,NA,0.8,NA,0.117,0.099,8.85
PK,7-Feb-19,38,4.21,3.47,-14.8,-7.3,-25,76,40.2,0.4,3.1,2.09,0.691,-3,-17.5,-9.7,-35.3,-0.6,NA,0.9,NA,0.142,0.211,9.02
PK,8-Feb-19,39,5.06,4.7,-14,-11.6,-16.8,86,81.4,2.1,6.7,5.94,0.733,-2.7,-15.1,-12,-19,-0.5,NA,0.9,NA,0.205,0.047,9.19
PK,9-Feb-19,40,7.02,5.96,-18,-16.2,-19.9,81.3,76.1,3.9,9.1,0,0.698,-2.4,-20.1,-15.6,-27.6,-0.6,NA,0.9,NA,0.131,0.041,9.37
PK,10-Feb-19,41,7.66,6.93,-19.2,-9,-28.9,75.6,45.1,0.9,5.5,0.55,0.705,-2.3,-24.4,-14.1,-37.3,-0.5,NA,0.9,NA,0.139,0.169,9.55
PK,11-Feb-19,42,6.88,6.4,-17.4,-11.1,-29.9,78.7,64,1.5,7.7,0,0.717,-2.6,-21.9,-12.5,-39.6,-0.6,NA,0.8,NA,0.167,0.094,9.74
PK,12-Feb-19,43,3.31,3.08,-12.6,-9.2,-20,89.4,85,1.4,4.9,7.37,0.784,-2.6,-15.1,-9.5,-31,-0.6,NA,0.9,NA,0.258,0.046,9.92
