Site,Date,Dy,Solar,Reflect,Tave,Tmax,Tmin,RHave,RHmin,Wind,WindMax,Precip,SnowD,Tsnow,IRTSurfA,IRTSurfX,IRTSurfN,Tsoil005,Tsoil15,Tsoil50,SoilH2O,Vapres,vpdX,ClrSky
P5,1-Jan-19,1,NA,NA,-6,-1.8,-9.5,93.8,90.6,NA,NA,NA,0.502,-1.3,-6.5,-2.8,-10,-0.2,0.2,1,NA,0.484,0.05,5.14
P5,2-Jan-19,2,NA,NA,-7.9,-7,-9.1,94.3,91.8,NA,NA,NA,0.466,-1.2,-7.9,-6.9,-10,-0.2,0.2,1,NA,0.333,0.03,5.18
P5,3-Jan-19,3,NA,NA,-3.5,0.3,-7,97,95.2,NA,NA,NA,0.473,-1.1,-4.1,-0.6,-7.1,-0.2,0.2,1,NA,0.594,0.03,5.22
P5,4-Jan-19,4,NA,NA,-3,0.4,-8.7,93.9,81.3,NA,NA,NA,0.467,-0.8,-4.4,-1.2,-9.8,-0.2,0.3,1,NA,0.51,0.117,5.27
P5,5-Jan-19,5,NA,NA,-2.7,-0.2,-8.4,94.3,87.9,NA,NA,NA,0.429,-0.9,-4,-1.3,-8.5,-0.1,0.3,1,NA,0.528,0.073,5.32
P5,6-Jan-19,6,NA,NA,-5.2,-1.5,-13.1,88.7,66.7,NA,NA,NA,0.454,-0.8,-6.5,-2.5,-13.6,-0.1,0.3,1,NA,0.365,0.182,5.37
P5,7-Jan-19,7,NA,NA,-9.9,-5.7,-17.2,84.7,61.8,NA,NA,NA,0.451,-1.3,-11.1,-7.6,-17.5,-0.2,0.2,1,NA,0.246,0.152,5.43
P5,8-Jan-19,8,NA,NA,-11.5,-6.1,-18.4,86.2,50.7,NA,NA,NA,0.443,-1.8,-11.9,-6.5,-18.6,-0.2,0.2,0.9,NA,0.196,0.191,5.49
P5,9-Jan-19,9,NA,NA,-2.6,0.2,-6.2,96.8,95.1,NA,NA,NA,0.469,-1.6,-3.3,-0.8,-6.6,-0.2,0.3,1,NA,0.591,0.03,5.56
P5,10-Jan-19,10,NA,NA,-1.7,0.3,-3.7,97.9,96,NA,NA,NA,0.449,-0.9,-3.1,-1,-6,-0.2,0.3,1,NA,0.598,0.025,5.63
P5,11-Jan-19,11,NA,NA,-2.5,-0.1,-4.4,97.1,95.4,NA,NA,NA,0.46,-0.8,-4.3,-1.4,-6.7,-0.1,0.3,1,NA,0.577,0.028,5.7
P5,12-Jan-19,12,NA,NA,-5.3,-1,-8.5,95.2,92.3,NA,NA,NA,0.448,-0.9,-7.4,-3.7,-9.9,-0.1,0.3,1,NA,0.523,0.044,5.77
P5,13-Jan-19,13,NA,NA,-7.3,-1.8,-10.4,94.5,92.2,NA,NA,NA,0.442,-1.2,-8.9,-3.9,-11.6,-0.2,0.2,0.9,NA,0.494,0.042,5.85
P5,14-Jan-19,14,NA,NA,-9.3,-3.7,-13,93.3,90.8,NA,NA,NA,0.441,-1.6,-10.7,-5.4,-13.9,-0.2,0.2,0.9,NA,0.423,0.043,5.93
P5,15-Jan-19,15,NA,NA,-9.3,-3.2,-12.8,91.6,80.9,NA,NA,NA,0.438,-1.9,-10.8,-5.8,-13.8,-0.3,0.2,0.9,NA,0.39,0.092,6.02
P5,16-Jan-19,16,NA,NA,-4.2,-1.7,-8,90.5,81.8,NA,NA,NA,0.435,-1.8,-5.4,-2.9,-10,-0.3,0.2,0.9,NA,0.44,0.098,6.11
P5,17-Jan-19,17,NA,NA,-2.4,-1,-3.6,94.9,88,NA,NA,NA,0.434,-1.2,-3.5,-1.9,-5.5,-0.2,0.2,0.9,NA,0.498,0.068,6.2
P5,18-Jan-19,18,NA,NA,-3.9,-1.7,-6.5,95.4,92.6,NA,NA,NA,0.454,-0.9,-5.1,-3.9,-7.9,-0.2,0.2,0.9,NA,0.499,0.04,6.3
P5,19-Jan-19,19,NA,NA,-3.3,-0.3,-8.1,91.9,76.1,NA,NA,NA,0.464,-0.9,-5,-2.1,-9.6,-0.2,0.2,0.9,NA,0.453,0.142,6.4
P5,20-Jan-19,20,NA,NA,-8.3,-4.1,-12.1,92.5,84.4,NA,NA,NA,0.462,-1.1,-9.5,-5.8,-12.8,-0.2,0.2,0.9,NA,0.381,0.07,6.51
P5,21-Jan-19,21,NA,NA,-9.8,-5.8,-14.5,90.1,84.8,NA,NA,NA,0.459,-1.5,-11.3,-7,-15.1,-0.2,0.2,0.9,NA,0.336,0.06,6.61
P5,22-Jan-19,22,NA,NA,-7.8,-6.3,-13.1,94.5,90.4,NA,NA,NA,0.51,-1.8,-8.1,-6.6,-12.9,-0.3,0.2,0.9,NA,0.345,0.037,6.73
P5,23-Jan-19,23,NA,NA,-6,-3.1,-9,94.9,91.7,NA,NA,NA,0.542,-1.5,-7.3,-4,-10.7,-0.3,0.2,0.9,NA,0.445,0.04,6.84
P5,24-Jan-19,24,NA,NA,-4.6,-1.7,-8.4,92.6,73.5,NA,NA,NA,0.561,-1.3,-6.3,-3.3,-10.3,-0.2,0.2,0.9,NA,0.396,0.143,6.96
P5,25-Jan-19,25,NA,NA,-3.1,0.4,-8.4,92.2,74.9,NA,NA,NA,0.544,-1.1,-4,0.4,-9.6,-0.2,0.2,0.9,NA,0.471,0.158,7.09
P5,26-Jan-19,26,NA,NA,-2.2,4,-6.2,95.7,69,NA,NA,NA,0.538,-0.9,-2.9,1.1,-7.4,-0.2,0.2,0.9,NA,0.56,0.252,7.21
P5,27-Jan-19,27,NA,NA,-1.4,4.4,-10.1,73.9,58.4,NA,NA,NA,0.51,-0.6,-3.1,1.2,-11.4,-0.1,0.2,0.9,NA,0.487,0.347,7.34
P5,28-Jan-19,28,NA,NA,-10.7,-3.1,-15,82.7,49.5,NA,NA,NA,0.526,-0.9,-11.7,-5.4,-15.5,-0.2,0.2,0.8,NA,0.24,0.245,7.47
P5,29-Jan-19,29,NA,NA,-11.9,-1.6,-17.4,81.2,30.7,NA,NA,NA,0.508,-1.5,-12.9,-4.4,-17.5,-0.2,0.2,0.8,NA,0.167,0.377,7.61
P5,30-Jan-19,30,NA,NA,-5.4,2.2,-14,76.8,36.4,NA,NA,NA,0.511,-1.7,-6.1,-0.9,-14.3,-0.2,0.2,0.9,NA,0.261,0.456,7.75
P5,31-Jan-19,31,NA,NA,-2.5,1.6,-3.9,83,59.6,NA,NA,NA,0.517,-1.3,-2.2,-0.2,-3.5,-0.2,0.2,0.9,NA,0.408,0.277,7.9
P5,1-Feb-19,32,NA,NA,-2.6,-1.1,-4.2,91.5,83.2,NA,NA,NA,0.499,-0.9,-1.6,-0.2,-3.1,-0.2,0.2,0.9,NA,0.469,0.095,8.04
P5,2-Feb-19,33,NA,NA,-3.9,-0.2,-9.7,83.1,60.7,NA,NA,NA,0.512,-0.7,-3.7,-0.4,-14.1,-0.2,0.2,0.9,NA,0.366,0.237,8.2
P5,3-Feb-19,34,NA,NA,-16.9,-8.8,-24.6,84.4,74.2,NA,NA,NA,0.508,-1,-15.4,-8.5,-22.3,-0.2,0.1,0.7,NA,0.233,0.081,8.35
P5,4-Feb-19,35,NA,NA,-23.6,-20.3,-25.5,79.7,77.9,NA,NA,NA,0.507,-2,-22.6,-19.3,-24.1,-0.4,0,0.6,NA,0.095,0.027,8.52
P5,5-Feb-19,36,NA,NA,-20.1,-15.4,-24,74.6,49.4,NA,NA,NA,0.502,-2.9,-20.7,-15.5,-24.1,-0.5,0,0.7,NA,0.091,0.093,8.68
P5,6-Feb-19,37,NA,NA,-20.7,-14.7,-23.7,77,62.5,NA,NA,NA,0.514,-3.3,-21.4,-15.6,-24,-0.7,0,0.6,NA,0.122,0.073,8.85
