"Date Time, PST",Day,"Rain, mm","Pressure, mbar","Temp, °C","RH, %","DewPt, °C","Wind Speed, m/s","Gust Speed, m/s","Wind Direction, ø","Solar Radiation, W/m²","Wetness, %","Snow depth, cm","Water Content, m³/m³ 15 cm","WC_cal, m³/m³","Soil Temp, °C","Sfc Temp, °C","Water Content, m³/m³ 5 cm","Water Content, m³/m³ 30 cm","Temp 2, °C","RH 2, %","DewPt 2, °C","Temp 30 cm, °C","RH 30 cm, %","DewPt 30 cm, °C",Flags,Comments
2024-07-25 13:00,2024-07-25,,909.05,15.027,52.773,5.476,0,0.33,324.3,38.1,0.59,NAN,0.2872,0.3276,8.27,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,"Station installed, will probably add redundant temp/RH later"
2024-07-25 14:00,2024-07-25,0,909.15,15.293,51.93,5.491,0,0.33,303.2,118.1,0.59,NAN,0.2806,0.3199,8.17,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,Soil moisture calibration will be done once samples processed
2024-07-25 15:00,2024-07-25,0,909.15,16.641,47.431,5.426,0,0.33,19.7,118.1,0.59,NAN,0.277,0.3156,8.095,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,
2024-07-25 16:00,2024-07-25,0,909.05,16.874,47.866,5.771,0,0.33,331.3,151.9,0.59,NAN,0.2741,0.3122,8.07,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,
2024-07-25 17:00,2024-07-25,0,908.85,15.823,51.243,5.789,0,0.33,327.1,39.4,0.59,NAN,0.2705,0.3080,8.045,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,
2024-07-25 18:00,2024-07-25,0,908.75,15.437,51.797,5.587,0,0.33,8.4,28.1,0.59,NAN,0.2683,0.3054,8.045,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,
2024-07-25 19:00,2024-07-25,0,908.45,15.279,52.966,5.763,0,0,30.9,16.9,0.59,NAN,0.2661,0.3028,8.045,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,
2024-07-25 20:00,2024-07-25,0,908.45,14.708,54.025,5.518,0,0,25.3,4.4,0.59,NAN,0.2647,0.3012,8.045,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,
2024-07-25 21:00,2024-07-25,0,908.55,13.794,56.97,5.43,0,0,25.3,0.6,0.59,NAN,0.2625,0.2986,8.07,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,
2024-07-25 22:00,2024-07-25,0,908.85,12.858,59.95,5.285,0,0,25.3,0.6,0.59,NAN,0.261,0.2968,8.07,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,
