station_name,native_id,lat,lon,elev,net_var_name,unit,earliest_time,latest_time
BowronPit,BowronPit,53.902111,-122.015389,722.0,Snow_Depth,cm,2019-11-01 12:00:00,2024-01-05 08:00:00
DunsterWx,Dunster,53.114909,-119.835293,890.0,Snow_Depth,cm,2023-07-14 11:00:00,2024-01-05 12:00:00
HourglassWx,Hourglass ,55.21275,-120.771635,1131.0,Snow_Depth,cm,2016-10-27 12:00:00,2024-01-05 16:00:00
BarrenWx,Barren,54.510444,-126.614341,1051.0,Soil_Temp,celsius,2021-07-09 12:00:00,2023-09-18 12:00:00
ChapmanWx,Chapman,54.883903,-126.623533,848.0,Soil_Temp,celsius,2021-07-08 12:00:00,2023-09-22 08:00:00
Dennis,McDonn,54.76159,-127.46765,895.0,Soil_Temp,celsius,2021-07-07 17:00:00,2023-09-19 13:00:00
GeorgeWx,George,53.883555,-124.710668,859.0,Soil_Temp,celsius,2023-08-22 12:00:00,2023-10-30 11:00:00
McDonnellWx,McDonn,54.78217,-127.5143,980.0,Soil_Temp,celsius,2021-07-07 17:00:00,2022-10-27 11:00:00
ThompsonWx,Thompson,54.333115,-126.099445,869.0,Soil_Temp,celsius,2023-06-23 13:00:00,2023-09-13 11:00:00
BarrenWx,Barren,54.510444,-126.614341,1051.0,SolarRadiationWm,W m-2,2021-07-09 12:00:00,2023-09-18 12:00:00
BlackhawkWx,Blackhawk,55.078885,-120.352171,962.0,SolarRadiationWm,W m-2,2012-05-24 13:00:00,2024-01-05 08:00:00
BoulderWx,Boulder Creek,55.108173,-127.37474,385.0,SolarRadiationWm,W m-2,2010-06-07 13:00:00,2023-09-21 14:00:00
BowronPit,BowronPit,53.902111,-122.015389,722.0,SolarRadiationWm,W m-2,2018-09-13 12:00:00,2024-01-05 08:00:00
BulkleyWx,PGTIS1,53.772183,-122.720729,594.0,SolarRadiationWm,W m-2,2007-07-31 12:00:03,2023-10-17 10:00:00
